Slug,Country_Code,Property_Type_Categories,Review_score_base,Review_Score,USD_Price,Partner,Published
condo-is-on-the-beach-150-5-star-reviews-tiki-bar-3-pools-2-hot-tubs,US,['House'],5,4.9,159,vrbo.com,True
newly-renovated-free-beach-svc-wifi-great-gulf-view,US,['House'],5,4.7,181,vrbo.com,True
20-off-stays-til-1-31-sea-breeze-destin-studio-w-beach-pool-access,US,['House'],5,4.0,151,vrbo.com,True
crystal-sands-307b-updated-gulf-front-condo-community-pool-beach-service,US,['House'],5,5.0,211,vrbo.com,True
crystal-sands-309a-gulf-front-free-beach-service-heated-pool-sleeps-8,US,['House'],5,4.9,111,vrbo.com,True
sundestin-1516-by-scenic-stays,US,['House'],5,4.7,241,vrbo.com,True
penthouse-beachfront-updated-unit-2021-pool-sauna-1br-bunk-sundestin-1808,US,['House'],5,4.5,271,vrbo.com,True
lakefront-destin-condo-with-short-walk-to-gulf,US,['House'],5,4.9,91,vrbo.com,True
caribbean-dunes-crystal-beach-condo-steps-to-the-beach,US,['House'],5,5.0,232,vrbo.com,True
holiday-surf-and-racquet-club-condo-206-on-the-2nd-floor-clean-and-updated,US,['House'],5,4.9,152,vrbo.com,True
island-vibe-4-close-to-beach-heated-pool,US,['House'],5,5.0,400,vrbo.com,True
heated-pool-waterfront-canal-dock-gulf-access-private-sunny-home,US,['House'],5,5.0,179,vrbo.com,True
waterview-corner-studio-25-family-friendly-beaches-top-floor-wifi,US,['Apartment'],5,4.9,279,vrbo.com,True
family-friendly-gated-community-two-pools-lake-outside-back-door,,['House'],5,4.9,86,vrbo.com,True
beachfront-fishing-golf-great-restaurants-gulf-sunsets,US,['House'],5,5.0,240,vrbo.com,True
beautiful-condo-with-breathtaking-panoramic-bay-view-and-steps-to-the-beach,US,['House'],5,5.0,300,vrbo.com,True
waterfront-pool-b-star5vacations,US,['House'],5,4.9,203,vrbo.com,True
2-bedroom-with-private-fenced-in-yard-for-grilling,,['Apartment'],5,4.9,93,vrbo.com,True
outstanding-corner-unit-in-the-sea-breeze-resort,US,['House'],5,4.6,235,vrbo.com,True
quiet-oasis-in-lovely-neighborhood,,['House'],5,4.9,90,vrbo.com,True
modern-resort-style-stay,,['House'],5,4.9,137,vrbo.com,True
cozy-studio-with-kitchenette-and-pool,,['Apartment'],5,5.0,76,vrbo.com,True
close-to-attractions-comfy-unit-pool-shuttle-to-parks-parking-breakfast,,['House'],5,3.4,69,vrbo.com,True
a-delightful-condo-situated-in-ventura-golf-country-club,,['House'],5,4.3,60,vrbo.com,True
eastpark-pet-friendly-lake-nona,,['House'],5,4.5,125,vrbo.com,True
gated-golf-community-free-wifi-cable-king-bed-pool-open-may-1-till-nov-30,,['House'],5,4.9,107,vrbo.com,True
stunning-luxurious-2bed-2bath-condo-with-open-floor-plan-downtown-orlando,,['House'],5,4.8,150,vrbo.com,True
steps-from-duval-pool-bikes-129-299-night,US,['Apartment'],5,4.8,284,vrbo.com,True
downtown-dog-friendly-cottage-like-studio-with-patio-full-kitchen-cable-ac,US,['Apartment'],5,4.5,265,vrbo.com,True
bahama-palms,US,['House'],5,5.0,200,vrbo.com,True
hemingway-hideaway-in-the-truman-annex,US,['House'],5,4.9,600,vrbo.com,True
solaris-garden-relax-and-enjoy-this-bohemian-dream-on-a-quaint-lane,US,['House'],5,4.9,388,vrbo.com,True
island-style-1-bedroom-1-bath-in-old-town-key-west,US,['House'],5,4.8,512,vrbo.com,True
stylish-dog-friendly-condo-with-balcony-in-heart-of-the-historic-district,US,['House'],5,4.9,363,vrbo.com,True
the-hollinsed-house-harvey-s-haven,US,['Apartment'],5,4.8,396,vrbo.com,True
updated-beachfront-condo-with-huge-balcony-and-amazing-views,US,['House'],5,4.7,258,vrbo.com,True
the-summit-1br-1-5ba-beautiful-unit-with-great-views,US,['House'],5,4.7,148,vrbo.com,True
awe-inspiring-beach-front-condo-with-spectacular-panoramic-sweeping-ocean-views,US,['House'],5,5.0,244,vrbo.com,True
beachfront-3-pools-low-rise-complex-1br-sunbird-402w,US,['House'],5,4.8,182,vrbo.com,True
low-7th-floor-emerald-beach-1br-sleeps-6,US,['House'],5,4.6,168,vrbo.com,True
beautiful-oceanfront-1-bedroom-condo-at-long-beach-resort-free-beach-chairs,US,['House'],5,4.9,178,vrbo.com,True
